NSS,IG,MSE,SIM,CC
-0.2589585795012473,-4.0583215781287635e-05,0.0,0.5974171161651611,0.0
-0.5952851541292663,-0.000100591188646183,8.407790785948902e-45,0.22556601464748383,0.0
-0.04065276944879962,0.00030450375577122134,1.4671594921480835e-42,0.8280254006385803,0.29834241412346424
2.5527075433054076,-0.00010010649013923743,0.0,0.7676577568054199,0.054068335155187976
0.03705099132738887,-0.00014475447038415353,0.0,0.6543367505073547,0.0
0.09077196489794351,0.0028758904297984567,1.4719169564864048e-37,0.8817163705825806,0.7102384464501192
265.9402288763473,0.16861391554256455,5.115611607672072e-25,0.3043487071990967,0.0
0.522564022263185,0.218124684606233,5.448913221033282e-28,0.912527859210968,0.9595089889850497
2.5870819296082887e-25,-3.6773864858206035e-05,0.0,0.5053411722183228,0.0
-0.23531597927877737,-5.465827164227209e-05,0.0,0.5202288031578064,0.12316414836730054
0.6775464235783605,0.3422955513356075,6.097276491345838e-05,0.8915417790412903,0.8794456893512649
3.4934588599975918,0.006518918356570188,2.4571851528804755e-37,0.740214467048645,0.6654275185749218
0.7770596077986642,0.414645591722592,1.4603741438427116e-22,0.9563337564468384,0.7440318842597938
-0.5152472743491572,0.34019927763474395,1.1988093788794781e-37,0.22612404823303223,0.0
-2.960460754093962e-25,-2.6737318320987955e-05,0.0,0.509187638759613,0.0
2.2705045072907266,-9.282911901769753e-05,0.0,0.7976523637771606,0.15844451167644866
-0.1887384990434564,-6.106606380560621e-05,0.0,0.6460459232330322,-0.03477717571365634
568.4139582565231,-7.563047614448288e-05,1.4517452090405105e-42,0.2527303993701935,0.0
-0.4903802502403149,0.1889569277725705,1.252245849920747e-38,0.34371015429496765,0.0
-0.04296263642589808,0.11599666725949895,7.067833434849408e-21,0.6086575388908386,0.35928424833659545
