train loss,test loss,train accuracy,test accuracy
0.6347954196574926,0.3771582157654169,0.7973244500846024,0.8845537174382859
0.3392373486823842,0.2919604058801775,0.8913917089678511,0.912783560668223
0.2575670942638933,0.4753655428011742,0.9159792724196276,0.8530572293072762
0.2021546081439694,0.1621936933528742,0.9307846869712352,0.9464374068220692
0.1829977148478809,0.1306302674423308,0.9404610829103216,0.9564226139226608
0.1551272397113935,0.1796296475201668,0.9495029610829104,0.9412598920291696
0.1451963369818105,0.1239830558821999,0.9515122673434856,0.957655325443787
0.1312092814953799,0.1098507875521507,0.9545262267343486,0.9609837278106508
0.1193911299084245,0.115363645835741,0.9594437394247038,0.9620315280891736
0.1137779481116487,0.1690335358388325,0.9601840101522844,0.9446498712844396
0.104964409584523,0.1285065983879495,0.9634094754653132,0.9587647928994084
0.0911254043708194,0.2072080804046089,0.9674280879864636,0.9367603550295858
0.0883140757604298,0.1649117893015844,0.9673752115059222,0.9500739644970414
0.0876781831538011,0.1590132967254819,0.9703891708967852,0.9535872781065088
0.0727569851173362,0.1323464636266584,0.9733502538071066,0.9587031257223096
0.0675613287136639,0.2609123365413507,0.9763642131979696,0.9349729097806492
0.0614411923687671,0.1786735805534046,0.9756239424703892,0.9495192307692308
0.0616003898194598,0.1544896187866933,0.978849407783418,0.955991124260355
0.0568605090559234,0.1425774591208915,0.9784263959390864,0.9619082840236688
0.0591902176135687,0.2419304480919471,0.9776332487309644,0.936637110964081
0.0423699425763486,0.1371256924239841,0.9835554145516074,0.9638806405152088
0.0466183728574697,0.1653916962753386,0.9820219966159052,0.9604289940828402
0.0498004597052301,0.1597971831553081,0.981651861252115,0.9564226139226608
0.0478533117097444,0.1205050000072231,0.9830266497461928,0.965421597633136
0.0373648790336905,0.1700484936053936,0.9858819796954316,0.9562992795684634
0.0412467401443197,0.21505897567117,0.9841899323181048,0.9489028298643214
0.0386578290393913,0.1510282776059483,0.9855647208121828,0.9609837278106508
0.0515342751130234,0.2498633029192862,0.9812817258883249,0.9430473372781064
0.0253141955070689,0.1361475272996891,0.9899534686971236,0.9661612426035504
0.0420396130298801,0.148503264026529,0.9851945854483926,0.9592578594501202
0.0302409480267571,0.158478652231792,0.9883142978003384,0.9648051967282268
0.0316475321193637,0.1676122789552226,0.9874682741116751,0.9656065088757396
0.035246931356827,0.1464433049309183,0.9873625211505922,0.9643121301775148
0.0332066589200557,0.2257478702703171,0.987574027072758,0.9501972085625462
0.0362489090353099,0.1584418257312661,0.9873625211505922,0.9656065088757396
0.0222413245393136,0.1821991959972494,0.9912225042301184,0.960552238148345
0.040330473743316,0.1631357655722714,0.9855647208121828,0.9639423076923076
0.029769506954703,0.2111325235761834,0.9885786802030456,0.9565458579881656
0.0409546608448835,0.2160908174232618,0.9853532148900168,0.9504437869822484
0.0315524325556359,0.1807895637828217,0.9878912859560068,0.9565458579881656
0.0355386427412985,0.2686063777765579,0.9868866328257192,0.9447115384615384
0.0305756118696958,0.1761887567283133,0.9887901861252116,0.9564226139226608
0.0256579297448172,0.1945376198672684,0.9906937394247038,0.956484190811067
0.0350150900645506,0.1496799852721084,0.9874153976311336,0.965051775147929
0.0285481260916101,0.1416892779649362,0.9890545685279188,0.9662844866690552
0.0271304400035774,0.1655566198586006,0.9902707275803724,0.9671474659936669
0.0303170128320477,0.1657347030188204,0.9884200507614214,0.965051775147929
0.0305644356458118,0.1727939018836388,0.9884729272419628,0.96301775147929
0.0254328868110772,0.186700482340254,0.9902178510998308,0.9590729482075168
0.0253200337366404,0.1533038235274997,0.990482233502538,0.9644970414201184
0.023170071003199,0.196712855051255,0.9912225042301184,0.958949704142012
0.0278268320306303,0.1852181000117014,0.988948815566836,0.9611686390532544
0.0212362938120885,0.1917557801015278,0.991063874788494,0.9632643298989922
0.0228775915155556,0.2267752878764677,0.99127538071066,0.9579019038634892
0.0223846483956738,0.2148456460625462,0.9910109983079526,0.9565458579881656
0.0279170744713591,0.155321753236669,0.990006345177665,0.9671474659936669
0.0199675616475733,0.1790476466071676,0.99164551607445,0.96418888611201
0.0305595172036521,0.1455476185273842,0.9893718274111676,0.9705374452489368
0.0180993136617334,0.1711017112054768,0.993496192893401,0.9638806405152088
0.0191276440563944,0.1821787907527043,0.991857021996616,0.96301775147929
0.0275523868309059,0.1908419908151118,0.9902178510998308,0.9569156804733728
0.0238111160329957,0.2104916544355584,0.9909052453468696,0.962524684928578
0.0262163133185527,0.1498712844397189,0.990587986463621,0.9713387573964496
0.0092457942349454,0.2144796157024315,0.995717005076142,0.962524684928578
0.0298339663019841,0.1586518710886938,0.9897948392554992,0.9664693979116586
0.0175133122607132,0.1490999142799151,0.9930731810490694,0.970414201183432
0.0188436798637893,0.2015966607268745,0.9925444162436547,0.9615384615384616
0.0188105142661157,0.2499745611608381,0.9925972927241964,0.9540803446572208
0.0243606954661722,0.1893980488974667,0.9910109983079526,0.9596276819353272
0.0152035388849713,0.1834951773197693,0.993972081218274,0.9657297529412444
0.0211498289543965,0.2025364757289547,0.992332910321489,0.9612303062303532
0.0240884755065195,0.2205253014197716,0.9911167512690356,0.9581483919944987
