NSS,IG,MSE,SIM,CC
0.0,0.0,,1.0,0.0
0.0,0.0,,1.0,0.0
2.2229825537601298,2.160337095842901,1.0277385653786933e-19,0.8008610010147095,0.7583346239140718
0.0,0.0,0.0,0.767139732837677,0.0
1.395091188082729,5.090627806842667e-09,4.184008983136038e-31,0.8079759478569031,0.5132516897615046
0.9106351621340685,0.019508874298721165,2.2564875522363995e-23,0.5740991830825806,0.5766925208725814
0.0,0.0,,1.0,0.0
0.0,0.0,0.0,0.3911033272743225,0.0
0.0,0.0,,1.0,0.0
5.4374127366065745e-24,0.0,0.0,0.8094507455825806,0.0
1.7577282461995871,1.981458281206209e-09,1.1993734121275356e-26,0.7748923897743225,0.8717991504323508
0.0,0.0,,1.0,0.0
0.9828293121707156,0.06750359049032671,3.8275172815599034e-31,0.5445631146430969,0.7267758376771056
0.0,0.0,,1.0,0.0
0.0,0.0,,1.0,0.0
0.0,0.0,,1.0,0.0
1.075248452772081,1.271822905771412,2.781566939159075e-25,0.7929489016532898,0.636890822586877
0.7120378992392907,1.9582130798946586,5.38519088877365e-07,0.828942060470581,0.7583158432427621
0.0,0.0,,1.0,0.0
0.0,0.0,,1.0,0.0
0.0,0.0,,1.0,0.0
1.721829269157553,1.1267926969616609e-08,9.80908925027372e-45,0.80859375,0.757470011449726
0.0,0.0,2.0,0.3484135866165161,0.0
-0.037126871451186164,0.7565487389957414,0.02644789218902588,0.5141103267669678,-0.06359044419489829
0.0,0.0,,1.0,0.0
0.0,0.0,0.0,0.7810506820678711,0.0
1.071474763025551,1.3973138822074629,0.10725368559360504,0.9442561864852905,0.5870927748079064
0.0,0.0,,1.0,0.0
1.3180797852382118,8.207209615031876e-09,1.5414283107572988e-44,0.8392259478569031,0.741418228073777
0.7278030745334586,1.2692580526879187,3.087185726242253e-14,0.6727319955825806,0.8064810380330336
0.6964900760854419,0.0,1.7781163304732247e-20,0.5627391338348389,0.3908899124234295
1.0233626130733224,2.843514447791088e-10,1.762185097278421e-13,0.6339684128761292,0.7498454546061577
1.3193455071340006,1.533815963110066,6.972683064612739e-13,0.826630175113678,0.7536860537607946
0.0,0.0,,1.0,0.0
0.9951422594990713,1.3250119949198018,2.3768322421346966e-07,0.9259805679321289,0.4897705355989425
0.6674623326621515,0.9885541654004861,0.06511294841766357,0.8691805601119995,0.18156245490618425
0.48532988492004187,1.3915946558472516,1.615372657775879,0.869300127029419,0.436233261807476
0.7831815349199629,0.019891044082806453,6.360240231028046e-32,0.3218670189380646,0.8430250276482302
0.0,0.0,,1.0,0.0
0.0,0.0,,1.0,0.0
7.516426899283215e-25,0.0,7.655153380760043e-39,0.7393175959587097,0.0
0.0,0.0,,1.0,0.0
